SCHOOLNAME,DISTrictNUMBER,DISTRICTNAME,EMH,EMH_Combined,SCHOOLNUMBER,AEC_10,Charter,Online,INITIAL_PlanType,FINAL_PlanType,Notes,EMH_2lvl,LT100pnts,School_Grade,rank_tot,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,SPF_PS_IND_GRAD_RATE
COLE ARTS AND SCIENCE ACADEMY,880,DENVER COUNTY 1,E,,1785,0,0,0,,,,1,0,4,1264,1,1,2,1,2,6,5,7,5,
CALICHE ELEMENTARY SCHOOL,1828,VALLEY RE-1,E,,1220,0,0,0,Improvement Plan,Improvement Plan,,1,0,4,1265,7,6,9,6,6,3,5,3,1,
TALBOTT ELEMENTARY SCHOOL,990,WIDEFIELD 3,E,,4346,0,0,0,Improvement Plan,Improvement Plan,,1,0,4,1265,6,6,6,5,6,5,4,6,3,
SPRINGFIELD ELEMENTARY SCHOOL,250,SPRINGFIELD RE-4,E,,8160,0,0,0,Improvement Plan,Improvement Plan,,1,0,4,1265,6,6,7,6,5,1,3,3,1,
AXL ACADEMY,180,ADAMS-ARAPAHOE 28J,E,,213,0,1,0,,,,1,0,4,1265,5,5,5,5,5,5,3,5,7,
BURLINGTON MIDDLE SCHOOL,1500,BURLINGTON RE-6J,M,,1150,0,0,0,,,,1,0,4,1265,5,6,3,6,6,3,5,3,3,
SURFACE CREEK VISION SCHOOL,870,DELTA COUNTY 50(J),E,,8419,0,0,0,,,,1,0,4,1265,5,6,5,3,6,2,6,1,2,
MONROE ELEMENTARY SCHOOL,1560,THOMPSON R2-J,E,,5992,0,0,0,Improvement Plan,Improvement Plan,,1,0,4,1271,6,6,6,6,6,4,2,6,5,
PRITCHETT MIDDLE SCHOOL,240,PRITCHETT RE-3,M,,7176,0,0,0,Improvement Plan,Improvement Plan,,1,0,4,1272,,6,6,8,,3,3,6,3,
ROCKY MOUNTAIN ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,2582,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,4,1273,4,3,6,3,5,5,4,6,3,
GENOA-HUGO MIDDLE SCHOOL,1780,GENOA-HUGO C113,M,,4160,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,4,1273,5,6,3,6,6,2,6,1,5,
LAKE INTERNATIONAL SCHOOL,880,DENVER COUNTY 1,M,,5255,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,4,1273,,1,5,3,,6,1,9,5,
TENNYSON KNOLLS ELEMENTARY SCHOOL,70,WESTMINSTER 50,E,,8798,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,4,1273,1,1,4,1,3,6,6,6,4,
ACHIEVE ACADEMY,10,MAPLETON 1,M,,505,0,0,0,,,,1,0,4,1273,2,2,1,3,5,6,6,6,6,
LA JUNTA JR/SR HIGH SCHOOL,2520,EAST OTERO R-1,M,,5015,0,0,0,,,,1,0,4,1273,6,5,5,6,6,3,3,4,5,
AURORA HILLS MIDDLE SCHOOL,180,ADAMS-ARAPAHOE 28J,M,,464,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1279,3,3,3,4,5,6,6,6,5,
HERITAGE MIDDLE SCHOOL,470,ST VRAIN VALLEY RE 1J,M,,6344,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1279,3,3,3,3,5,6,6,6,6,
NORWOOD ELEMENTARY SCHOOL,2840,NORWOOD R-2J,E,,6418,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1279,8,9,9,8,7,1,1,3,1,
KUNSMILLER CREATIVE ARTS ACADEMY,880,DENVER COUNTY 1,M,,4795,0,0,0,,,,1,0,3,1279,3,3,3,5,4,6,5,6,5,
CHATFIELD ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,1520,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1283,4,5,4,3,5,3,5,2,5,
CESAR CHAVEZ ACADEMY DENVER,880,DENVER COUNTY 1,E,,1345,0,1,0,,,,1,0,3,1283,5,3,6,5,3,3,5,3,4,
CESAR CHAVEZ ACADEMY DENVER,880,DENVER COUNTY 1,M,,1345,0,1,0,,,,1,0,3,1283,2,3,1,5,1,6,6,3,9,
MARTINEZ ELEMENTARY SCHOOL,3120,GREELEY 6,E,,6774,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1286,5,3,6,3,3,5,3,6,6,
SIERRA GRANDE MIDDLE SCHOOL,740,SIERRA GRANDE R-30,M,,7878,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1287,,5,3,5,,3,4,2,6,
FRUITVALE ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,3262,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1288,5,6,6,5,5,3,6,3,3,
BEA UNDERWOOD ELEMENTARY SCHOOL,1220,GARFIELD 16,E,,3578,0,0,0,Priority Improvement Plan,Improvement Plan,Approved Request to Reconsider,1,0,3,1288,,5,5,3,,4,5,5,5,
ADAMS CITY MIDDLE SCHOOL,30,ADAMS COUNTY 14,M,,20,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1290,3,3,2,3,5,6,6,6,6,
COLORADO CONNECTIONS ACADEMY,10,MAPLETON 1,E,,1796,0,0,0,,,,1,0,3,1291,6,6,6,6,6,3,3,3,5,
CORRIDOR COMMUNITY ACADEMY,50,BENNETT 29J,E,,1889,0,1,0,,,,1,0,3,1291,6,6,6,6,6,1,1,4,1,
SHAW HEIGHTS MIDDLE SCHOOL,70,WESTMINSTER 50,M,,7812,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1293,3,4,1,3,5,5,6,3,5,
SMILEY MIDDLE SCHOOL,880,DENVER COUNTY 1,M,,7992,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1293,3,3,2,3,4,6,6,6,6,
WALSH HIGH SCHOOL,230,WALSH RE-1,M,,9226,0,0,0,,,,1,0,3,1293,6,6,6,6,6,1,1,5,1,
DUPONT ELEMENTARY SCHOOL,30,ADAMS COUNTY 14,E,,2308,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1296,4,4,5,3,5,5,5,6,2,
KAISER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,4498,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1297,5,3,6,5,3,3,1,5,5,
FEDERAL HEIGHTS ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,2918,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1298,2,1,5,1,3,6,5,7,6,
MC ELWAIN ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,5706,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1298,1,1,3,1,1,6,6,6,6,
NEWLON ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,6254,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1298,3,1,6,1,1,6,6,6,6,
FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,180,ADAMS-ARAPAHOE 28J,M,,2995,0,0,0,,,,1,0,3,1298,1,1,1,2,1,6,6,3,9,
HASKIN ELEMENTARY SCHOOL,2810,CENTER 26 JT,E,,1412,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1302,3,1,3,1,5,6,5,7,6,
PLATTE VALLEY MIDDLE SCHOOL,3130,PLATTE VALLEY RE-7,M,,7054,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1303,6,6,5,6,6,3,3,3,5,
STRATTON MIDDLE SCHOOL,1480,STRATTON R-4,M,,8351,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1303,,5,3,6,,3,3,6,2,
PIONEER CHARTER SCHOOL,880,DENVER COUNTY 1,E,,6957,0,1,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1305,3,1,5,2,3,6,6,6,6,
MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,10,MAPLETON 1,M,,187,0,0,0,,,,1,0,3,1305,2,3,1,3,5,5,5,6,5,
IGNACIO INTERMEDIATE SCHOOL,1540,IGNACIO 11 JT,E,,4252,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1307,5,4,5,3,6,4,5,5,3,
PARKVIEW ELEMENTARY SCHOOL,2660,LAMAR RE-2,E,,6794,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1307,,6,6,6,,3,3,5,1,
CARBONDALE MIDDLE SCHOOL,1180,ROARING FORK RE-1,E,,1296,0,0,0,,,,1,0,3,1307,3,4,1,3,3,4,6,3,6,
FULTON ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,3272,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1310,1,1,3,1,1,5,6,6,5,
SWANSEA ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,8422,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1310,1,1,3,2,1,6,6,6,5,
NORTHEAST ACADEMY CHARTER SCHOOL,880,DENVER COUNTY 1,M,,6394,0,1,0,,,,1,0,3,1310,1,2,1,3,1,6,6,6,6,
COLLEGE VIEW ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,1788,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1313,1,1,3,1,2,6,6,6,6,
ELKHART ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,2618,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1313,1,1,3,1,1,6,5,7,6,
FAIRVIEW ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,2880,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1313,1,2,3,1,1,6,6,6,5,
JEWELL ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,4426,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1313,5,5,6,5,5,3,5,3,4,
MONTEREY COMMUNITY SCHOOL,10,MAPLETON 1,E,,501,0,0,0,,,,1,0,3,1313,3,3,5,2,3,6,5,6,6,
WYATT-EDISON CHARTER ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,9739,0,1,0,,,,1,0,3,1318,3,3,5,3,3,5,6,6,4,
HILLCREST ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,4000,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1319,5,4,6,4,3,3,3,4,3,
PINELLO ELEMENTARY SCHOOL,990,WIDEFIELD 3,E,,6952,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1319,6,6,6,6,6,3,5,4,2,
BARRETT ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,540,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1321,1,1,1,1,1,6,6,6,5,
CHELTENHAM ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,1528,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1321,1,1,3,2,1,6,5,6,6,
CRAWFORD ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,1948,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1321,1,1,2,1,1,5,4,6,6,
FAIRVIEW ELEMENTARY SCHOOL,70,WESTMINSTER 50,E,,2876,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1321,3,3,5,1,2,5,6,5,5,
KENTON ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,4646,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1321,3,3,5,2,1,6,5,7,6,
MAXWELL ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,5644,0,0,0,Priority Improvement Plan,Turnaround Plan,Deferred to district rating,1,0,3,1321,1,2,2,1,1,5,3,5,6,
CENTENNIAL ELEMENTARY SCHOOL,640,CENTENNIAL R-1,E,,7588,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1321,3,3,5,3,1,6,5,6,6,
SHERIDAN MIDDLE SCHOOL,123,SHERIDAN 2,M,,7837,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1321,1,2,1,3,4,5,5,5,6,
SIXTH AVENUE ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,7932,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1321,3,3,2,3,3,5,5,5,6,
GLOBAL LEADERSHIP ACADEMY,10,MAPLETON 1,E,,263,0,0,0,,,,1,0,3,1321,2,1,5,2,1,5,5,6,5,
BRUCE RANDOLPH SCHOOL,880,DENVER COUNTY 1,M,,6350,0,0,0,,,,1,0,3,1321,1,1,1,1,1,6,6,6,6,
HANSON ELEMENTARY SCHOOL,30,ADAMS COUNTY 14,M,,6534,0,0,0,,,,1,0,3,1321,1,2,1,3,3,5,4,6,6,
TREVISTA ECE-8 AT HORACE MANN,880,DENVER COUNTY 1,E,,8909,0,0,0,,,,1,0,3,1321,1,1,3,2,1,6,3,6,6,
COLUMBIAN ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,1828,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1334,6,6,6,5,3,3,3,3,4,
MANAUGH ELEMENTARY SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,E,,5436,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1334,3,3,5,1,3,6,5,6,5,
ROMERO ELEMENTARY SCHOOL,3120,GREELEY 6,E,,54,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1336,3,3,5,1,2,4,5,5,4,
AMESSE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,220,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1336,1,1,3,1,1,6,6,6,6,
ASHLEY ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,418,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1336,1,1,2,1,1,6,6,6,4,
HEATH MIDDLE SCHOOL,3120,GREELEY 6,M,,3880,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1336,5,5,2,6,5,2,5,1,5,
NORTH ELEMENTARY SCHOOL,40,BRIGHTON 27J,E,,6294,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1336,3,3,5,3,2,6,6,6,6,
SABIN MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,,7556,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1336,6,6,5,6,6,4,5,3,5,
MARTIN LUTHER KING JR. EARLY COLLEGE,880,DENVER COUNTY 1,M,,5605,0,0,0,,,,1,0,3,1336,1,1,1,1,1,6,5,6,6,
ELBERT ELEMENTARY SCHOOL,950,ELBERT 200,E,,2570,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1343,7,8,7,9,6,1,1,2,1,
FRANCIS M. DAY ELEMENTARY SCHOOL,70,WESTMINSTER 50,E,,3144,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1343,1,1,1,1,3,6,5,6,5,
FREMONT MIDDLE SCHOOL,1150,FREMONT RE-2,M,,3226,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1343,5,6,3,5,5,3,5,1,6,
GODSMAN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,3478,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1343,2,1,3,1,1,5,3,5,5,
QUEEN PALMER ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,7228,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1343,5,5,5,4,4,3,2,4,3,
WEST GRAND MIDDLE SCHOOL,1340,WEST GRAND 1-JT.,M,,9422,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1343,6,6,4,6,6,3,4,3,6,
CLAYTON PARTNERSHIP SCHOOL,10,MAPLETON 1,E,,509,0,0,0,,,,1,0,3,1343,2,1,5,1,3,5,5,6,4,
MC CLAVE UNDIVIDED HIGH SCHOOL,310,MC CLAVE RE-2,M,,5670,0,0,0,,,,1,0,3,1343,5,5,6,6,5,1,1,6,2,
FREMONT ELEMENTARY SCHOOL,1150,FREMONT RE-2,E,,3224,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1351,6,6,6,6,6,2,3,3,3,
FISHER'S PEAK ELEMENTARY SCHOOL,1580,TRINIDAD 1,E,,2944,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1352,6,6,6,6,6,2,3,3,2,
JOHNSON ELEMENTARY SCHOOL,2180,MONTROSE COUNTY RE-1J,E,,4458,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1352,6,5,6,5,6,4,5,6,1,
THORNTON MIDDLE SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,M,,5814,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1352,1,1,1,1,4,5,4,6,5,
MILLIKEN ELEMENTARY SCHOOL,3110,JOHNSTOWN-MILLIKEN RE-5J,E,,5896,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1352,6,5,6,6,6,3,4,5,3,
NORTH STAR ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,6376,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1352,3,2,5,2,2,5,6,6,3,
VALVERDE ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,9050,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1352,2,1,3,3,1,6,5,6,6,
SUNSET PARK ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,8402,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1358,7,8,9,8,5,1,1,1,5,
CARMEL MIDDLE SCHOOL,980,HARRISON 2,M,,1306,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1359,4,3,3,5,5,3,4,2,6,
SPACE TECHNOLOGY AND ARTS ACADEMY (STAR ACADEMY),1010,COLORADO SPRINGS 11,E,,8359,0,1,0,,,,1,0,3,1359,3,3,4,3,5,4,3,6,3,
WHEELING ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,9514,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1361,1,2,3,1,1,6,4,6,5,
UNDERWOOD ELEMENTARY SCHOOL,2730,DEL NORTE C-7,E,,8960,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1362,6,6,6,6,5,1,3,1,6,
CRYSTAL RIVER ELEMENTARY SCHOOL,1180,ROARING FORK RE-1,E,,2063,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1363,,5,5,4,,3,5,4,1,
HAAFF ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,3724,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1363,7,7,8,7,6,1,1,1,1,
WM E BISHOP ELEMENTARY SCHOOL,120,ENGLEWOOD 1,E,,9620,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,3,1363,4,3,5,5,3,3,5,5,1,
CHEYENNE WELLS ELEMENTARY SCHOOL,520,CHEYENNE COUNTY RE-5,E,,1608,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1366,6,6,6,6,5,3,3,6,2,
HIGHLAND ELEMENTARY SCHOOL,3145,AULT-HIGHLAND RE-9,E,,3958,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1366,6,5,6,5,6,3,5,4,2,
WESTPARK ELEMENTARY SCHOOL,1510,LAKE COUNTY R-1,E,,9486,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1366,,5,8,6,,1,1,2,1,
CORONADO HILLS ELEMENTARY SCHOOL,20,ADAMS 12 FIVE STAR SCHOOLS,E,,1878,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1369,3,3,5,2,3,5,3,6,5,
EADS ELEMENTARY SCHOOL,1430,EADS RE-1,E,,2328,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1370,9,7,9,9,8,1,1,1,2,
DENVER GREEN SCHOOL,880,DENVER COUNTY 1,E,,2125,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1371,,6,5,5,,5,5,6,3,
HENRY ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,3920,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1371,6,5,6,6,6,1,4,1,4,
MCKINLEY ELEMENTARY SCHOOL,1140,CANON CITY RE-1,E,,5704,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1371,6,6,7,6,6,2,1,3,5,
CHARLES M. SCHENCK (CMS) COMMUNITY SCHOOL,880,DENVER COUNTY 1,E,,7694,0,0,0,Priority Improvement Plan,Turnaround Plan,Deferred to district rating,1,0,2,1371,1,1,2,1,1,5,6,5,3,
CRESSON ELEMENTARY SCHOOL,3010,CRIPPLE CREEK-VICTOR RE-1,E,,9080,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1371,6,6,6,6,6,1,3,1,3,
HENDERSON ELEMENTARY SCHOOL,40,BRIGHTON 27J,E,,3900,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1376,6,6,6,6,3,3,3,3,5,
STRATTON ELEMENTARY SCHOOL,1480,STRATTON R-4,E,,8342,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1377,6,6,8,6,6,2,2,3,2,
JEFFERSON COUNTY OPEN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,6539,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1378,6,6,6,6,6,1,3,1,2,
OLGA A HELLBECK ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,6504,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1379,5,5,6,5,3,3,2,3,6,
ARVADA K-8,1420,JEFFERSON COUNTY R-1,M,,109,0,0,0,,,,1,0,2,1379,2,3,1,1,4,4,5,6,3,
ROCKY FORD JUNIOR/SENIOR HIGH SCHOOL,2530,ROCKY FORD R-2,M,,7442,0,0,0,,,,1,0,1,1381,2,2,1,3,5,5,1,6,6,
SOUTH PARK ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,8116,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1382,6,6,8,6,6,1,1,2,1,
FLYNN ELEMENTARY SCHOOL,70,WESTMINSTER 50,E,,7810,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1383,5,3,6,3,6,3,3,5,2,
ELLICOTT ELEMENTARY SCHOOL,1050,ELLICOTT 22,E,,2638,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1384,6,5,6,5,5,3,1,6,3,
IOWA ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,4270,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1384,3,3,3,3,1,4,6,1,5,
MONROE ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,5988,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1384,3,3,5,3,3,4,2,6,3,
CENTENNIAL K-8 SCHOOL,880,DENVER COUNTY 1,E,,1400,0,0,0,,,,1,0,2,1387,4,4,5,4,3,3,1,6,3,
ARKANSAS ELEMENTARY SCHOOL,180,ADAMS-ARAPAHOE 28J,E,,310,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1388,3,3,3,3,2,3,5,6,1,
BENJAMIN FRANKLIN ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,756,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1389,6,6,6,6,3,1,1,1,2,
COLUMBIAN ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,1816,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1389,2,1,5,1,1,5,2,6,5,
W H HEATON MIDDLE SCHOOL,2690,PUEBLO CITY 60,M,,9188,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1391,5,5,3,6,6,1,2,3,1,
FRANKLIN MIDDLE SCHOOL,3120,GREELEY 6,M,,3162,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1392,2,3,1,4,5,4,4,3,6,
MOLHOLM ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,5972,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,2,1392,1,1,3,1,1,3,3,5,5,
PITT-WALLER K-8 SCHOOL,880,DENVER COUNTY 1,E,,6970,0,0,0,,,,1,0,2,1392,3,3,4,3,3,3,4,3,3,
ROSE HILL ELEMENTARY SCHOOL,30,ADAMS COUNTY 14,E,,7500,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,1,1395,4,5,5,3,1,2,5,1,3,
WOODLIN ELEMENTARY SCHOOL,3070,WOODLIN R-104,E,,9700,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,1,1395,6,6,6,6,6,2,1,6,1,
DELTA VISION SCHOOL,870,DELTA COUNTY 50(J),E,,2166,0,0,0,,,,1,0,1,1395,3,4,5,1,6,2,5,3,1,
SPANN ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,8143,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,1,1398,2,3,3,1,1,5,3,6,6,
SPACE TECHNOLOGY AND ARTS ACADEMY (STAR ACADEMY),1010,COLORADO SPRINGS 11,M,,8359,0,1,0,,,,1,0,1,1398,,3,1,3,,4,3,3,6,
V.I.L.A.S. ONLINE SCHOOL,260,VILAS RE-5,M,,9085,0,0,1,,,,1,0,1,1400,3,6,1,5,4,1,1,1,6,
GILCREST ELEMENTARY SCHOOL,3080,WELD COUNTY RE-1,E,,3398,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,1,1401,5,4,5,5,5,3,5,3,2,
MANNY MARTINEZ MIDDLE SCHOOL,880,DENVER COUNTY 1,M,,5430,0,1,0,Priority Improvement Plan,Turnaround Plan,Deferred to district rating,1,0,1,1402,1,1,1,1,1,3,3,6,3,
NOEL MIDDLE SCHOOL,880,DENVER COUNTY 1,M,,6784,0,0,0,Priority Improvement Plan,Turnaround Plan,Deferred to district rating,1,0,1,1402,1,1,1,1,2,5,5,3,6,
VENTURE PREP,880,DENVER COUNTY 1,M,,2755,0,1,0,,,,1,0,1,1402,,2,1,2,,3,3,3,6,
FORD ELEMENTARY SCHOOL,880,DENVER COUNTY 1,E,,3038,0,0,0,Priority Improvement Plan,Turnaround Plan,Deferred to district rating,1,0,1,1405,1,1,1,1,1,4,3,6,2,
M. SCOTT CARPENTER MIDDLE SCHOOL,70,WESTMINSTER 50,M,,5388,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,1,1405,1,1,1,1,1,2,4,1,5,
MAPLEWOOD ELEMENTARY SCHOOL,3120,GREELEY 6,E,,5620,0,0,0,Priority Improvement Plan,Priority Improvement Plan,,1,0,1,1405,1,1,3,1,2,3,1,5,4,
