School Name,District Number,District Name,EMH,EMH_combined,School Number,rate_at.5_chng_ach,rate_at.5_chng_growth,pct_pts_chnge_.5
GRANBY ELEMENTARY SCHOOL,1350,EAST GRAND 2,E,,3556,2,1,1
GRAND JUNCTION HIGH SCHOOL,2000,MESA COUNTY VALLEY 51,H,,3570,2,2,2
GRAND LAKE ELEMENTARY SCHOOL,1350,EAST GRAND 2,E,,3572,1,2,2
BEA UNDERWOOD ELEMENTARY SCHOOL,1220,GARFIELD 16,E,,3578,3,,3
GRAND MESA HIGH SCHOOL,1990,PLATEAU VALLEY 50,H,,3582,1,,2
GRAND MESA MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,,3584,2,2,2
GRAND VALLEY HIGH SCHOOL,1220,GARFIELD 16,H,,3586,2,3,3
GRANDVIEW HIGH SCHOOL,0130,CHERRY CREEK 5,H,,3589,2,2,1
GRANT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,3592,1,2,2
GRANT MIDDLE SCHOOL,0880,DENVER COUNTY 1,M,,3600,3,2,2
L.W. ST. JOHN ELEMENTARY SCHOOL,1220,GARFIELD 16,E,,3603,2,2,2
GRANT RANCH K-8 SCHOOL,0880,DENVER COUNTY 1,E,EM,3605,2,3,3
GRANT RANCH K-8 SCHOOL,0880,DENVER COUNTY 1,M,EM,3605,2,2,3
GREELEY CENTRAL HIGH SCHOOL,3120,GREELEY 6,H,,3610,1,1,1
GREELEY WEST HIGH SCHOOL,3120,GREELEY 6,H,,3614,2,2,2
GREEN ACRES ELEMENTARY SCHOOL,2405,FORT MORGAN RE-3,E,,3620,2,2,3
GREEN GABLES ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3622,2,3,3
GREEN MOUNTAIN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3624,3,2,2
GREEN MOUNTAIN HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,3628,2,3,3
GREENLEE K-8 SCHOOL,0880,DENVER COUNTY 1,E,,3638,,,
GREENLEE K-8 SCHOOL,0880,DENVER COUNTY 1,M,,3638,,,
GIRLS ATHLETIC LEADERSHIP SCHOOL,0880,DENVER COUNTY 1,,,3639,,,
GREEN VALLEY ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,3641,2,3,3
GREENWOOD ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,EM,3647,1,2,1
GREENWOOD ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,M,EM,3647,3,2,1
GREENWOOD ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,3648,2,2,3
GREENLEE ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,,,3655,,,
PAWNEE ELEMENTARY SCHOOL,3148,PAWNEE RE-12,E,,3672,1,1,3
GUFFEY CHARTER SCHOOL,2610,PARK COUNTY RE-2,E,,3681,,,
GUFFEY CHARTER SCHOOL,2610,PARK COUNTY RE-2,M,,3681,,,
GUNNISON ELEMENTARY SCHOOL,1360,GUNNISON WATERSHED RE1J,E,,3690,2,3,2
GUNNISON HIGH SCHOOL,1360,GUNNISON WATERSHED RE1J,H,,3694,2,2,2
GUNNISON MIDDLE SCHOOL,1360,GUNNISON WATERSHED RE1J,M,,3697,3,3,3
GUNNISON VALLEY SCHOOL,1360,GUNNISON WATERSHED RE1J,H,,3701,,,1
GUST ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,3704,2,2,2
GYPSUM ELEMENTARY SCHOOL,0910,EAGLE COUNTY RE 50,E,,3710,3,2,3
HAAFF ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,3724,2,1,1
HACKBERRY HILL ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3726,2,2,3
HAMILTON MIDDLE SCHOOL,0880,DENVER COUNTY 1,M,,3746,2,2,2
HANOVER ELEMENTARY SCHOOL,1070,HANOVER 28,E,,3754,,,
HANOVER JUNIOR-SENIOR HIGH SCHOOL,1070,HANOVER 28,H,,3758,1,2,2
HANOVER JUNIOR-SENIOR HIGH SCHOOL,1070,HANOVER 28,M,,3758,1,1,1
CENTENNIAL HIGH SCHOOL,1550,POUDRE R-1,H,,3760,,,3
HARRINGTON ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,3778,2,2,2
HARRIS BILINGUAL ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,3787,3,2,2
LAB ELEMENTARY SCHOOL FOR CREATIVE LEARNING,1550,POUDRE R-1,E,,3791,1,2,2
HARRIS PARK ELEMENTARY SCHOOL,0070,WESTMINSTER 50,E,,3792,1,2,1
HARRISON SCHOOL,1140,CANON CITY RE-1,E,,3802,2,3,3
HARRISON SCHOOL,1140,CANON CITY RE-1,M,,3802,2,2,2
HARRISON HIGH SCHOOL,0980,HARRISON 2,H,,3806,3,2,2
HAXTUN ELEMENTARY SCHOOL,2630,HAXTUN RE-2J,E,EM,3846,2,2,2
HAXTUN ELEMENTARY SCHOOL,2630,HAXTUN RE-2J,M,EM,3846,2,2,2
HAXTUN HIGH SCHOOL,2630,HAXTUN RE-2J,H,,3850,2,3,3
HAYDEN MIDDLE SCHOOL,2760,HAYDEN RE-1,M,,3860,1,1,1
HAYDEN HIGH SCHOOL,2760,HAYDEN RE-1,H,,3862,1,2,2
HEATH MIDDLE SCHOOL,3120,GREELEY 6,M,,3880,2,2,2
HEATHERWOOD ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,3882,2,2,3
HUNT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,3890,2,2,2
HENDERSON ELEMENTARY SCHOOL,0040,BRIGHTON 27J,E,,3900,2,1,1
HENRY ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,3920,3,1,1
HERITAGE ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,3924,3,3,3
HERITAGE ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,3926,2,2,2
HERITAGE ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,3928,2,2,2
HERITAGE HIGH SCHOOL,0140,LITTLETON 6,H,,3930,2,2,2
HIDDEN LAKE HIGH SCHOOL,0070,WESTMINSTER 50,H,,3931,1,1,2
HIGH PEAKS ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,3940,2,2,2
HIGHLAND ELEMENTARY SCHOOL,0140,LITTLETON 6,E,,3950,2,2,2
HIGHLAND ELEMENTARY SCHOOL,3145,AULT-HIGHLAND RE-9,E,,3958,2,2,3
HIGHLAND MIDDLE SCHOOL,3145,AULT-HIGHLAND RE-9,M,,3961,2,2,2
HIGHLAND HIGH SCHOOL,3145,AULT-HIGHLAND RE-9,H,,3962,2,2,2
HIGHLAND ELEMENTARY SCHOOL,1195,GARFIELD RE-2,E,,3967,3,3,3
HIGHLAND PARK ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,3976,1,2,2
HIGHLANDS RANCH HIGH SCHOOL,0900,DOUGLAS COUNTY RE 1,H,,3980,3,3,3
HIGH PLAINS ELEMENTARY SCHOOL,1040,ACADEMY 20,E,,3985,1,2,1
HIGHLINE ACADEMY CHARTER SCHOOL,0880,DENVER COUNTY 1,E,EM,3987,2,2,2
HIGHLINE ACADEMY CHARTER SCHOOL,0880,DENVER COUNTY 1,M,EM,3987,3,2,2
HIGHLINE COMMUNITY ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,3988,3,2,1
HILL CAMPUS OF ARTS AND SCIENCES,0880,DENVER COUNTY 1,M,,3990,3,2,2
HOPE ON-LINE,0900,DOUGLAS COUNTY RE 1,E,,3995,3,3,2
HOPE ON-LINE,0900,DOUGLAS COUNTY RE 1,H,,3995,2,2,2
HOPE ON-LINE,0900,DOUGLAS COUNTY RE 1,M,,3995,2,3,2
HILLCREST ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,4000,2,2,1
HINKLEY HIGH SCHOOL,0180,ADAMS-ARAPAHOE 28J,H,,4024,2,2,2
HOEHNE ELEMENTARY SCHOOL,1600,HOEHNE REORGANIZED 3,E,,4044,2,2,2
HOEHNE JUNIOR HIGH SCHOOL,1600,HOEHNE REORGANIZED 3,M,,4045,2,2,1
HOEHNE HIGH SCHOOL,1600,HOEHNE REORGANIZED 3,H,,4048,1,2,2
HOLLY HIGH SCHOOL,2670,HOLLY RE-3,H,,4058,3,2,3
HOLLY HILLS ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,4062,3,3,3
HOLLY JUNIOR HIGH SCHOOL,2670,HOLLY RE-3,M,,4069,2,2,1
HOLMES MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,,4070,2,2,2
HOLM ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,4074,2,2,2
HOLYOKE ELEMENTARY SCHOOL,2620,HOLYOKE RE-1J,E,,4076,1,1,1
HOMESTEAD ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,4078,2,2,3
HOLYOKE JUNIOR HIGH SCHOOL,2620,HOLYOKE RE-1J,M,,4079,2,2,2
HOLYOKE SENIOR HIGH SCHOOL,2620,HOLYOKE RE-1J,H,,4080,2,2,2
HORIZONS EXPLORATORY ACADEMY,0500,SALIDA R-32,H,,4085,,,
MANN MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,,4090,2,2,2
HORIZON MIDDLE SCHOOL,0130,CHERRY CREEK 5,M,,4100,2,2,1
HORIZON MIDDLE SCHOOL,1110,FALCON 49,M,,4102,2,2,2
HORIZON HIGH SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,H,,4108,2,2,2
HOTCHKISS ELEMENTARY SCHOOL,0870,DELTA COUNTY 50(J),E,EM,4124,2,2,2
HOTCHKISS ELEMENTARY SCHOOL,0870,DELTA COUNTY 50(J),M,EM,4124,3,2,2
HOTCHKISS HIGH SCHOOL,0870,DELTA COUNTY 50(J),H,,4128,2,2,2
HOWBERT ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,4138,1,2,1
HOWELL K-8 SCHOOL,0880,DENVER COUNTY 1,E,EM,4140,3,2,3
HOWELL K-8 SCHOOL,0880,DENVER COUNTY 1,M,EM,4140,3,3,3
HUDSON ELEMENTARY SCHOOL,3090,KEENESBURG RE-3(J),E,,4148,2,2,2
GENOA-HUGO ELEMENTARY SCHOOL,1780,GENOA-HUGO C113,E,,4158,1,2,1
GENOA-HUGO MIDDLE SCHOOL,1780,GENOA-HUGO C113,M,,4160,3,2,3
HUERFANO COUNTY OPPORTUNITY AND ENRICHMENT SCHOOL,1390,HUERFANO RE-1,H,,4161,,,2
GENOA-HUGO SENIOR HIGH SCHOOL,1780,GENOA-HUGO C113,H,,4162,1,2,2
HULSTROM OPTIONS K-8 SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,4172,2,2,2
HULSTROM OPTIONS K-8 SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,M,,4172,2,3,3
IGNACIO ACADEMY,1540,IGNACIO 11 JT,H,,4179,,,
CEDAREDGE ELEMENTARY SCHOOL,0870,DELTA COUNTY 50(J),E,,4182,2,2,2
SILVER HILLS MIDDLE SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,M,,4187,2,1,1
HUTCHINSON ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,4190,2,1,1
HYGIENE ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,4202,2,3,2
CARLSON ELEMENTARY SCHOOL,0540,CLEAR CREEK RE-1,E,,4212,2,3,3
CLEAR CREEK HIGH SCHOOL,0540,CLEAR CREEK RE-1,H,,4216,2,3,2
IDALIA ELEMENTARY SCHOOL,3220,IDALIA RJ-3,E,,4227,1,2,1
IDALIA JUNIOR-SENIOR HIGH SCHOOL,3220,IDALIA RJ-3,H,,4231,2,2,2
IDALIA JUNIOR-SENIOR HIGH SCHOOL,3220,IDALIA RJ-3,M,,4231,,,
IGNACIO ELEMENTARY SCHOOL,1540,IGNACIO 11 JT,E,,4250,2,,1
THE IMAGINE CLASSICAL ACADEMY AT INDIGO RANCH,1110,FALCON 49,E,,4251,2,2,2
THE IMAGINE CLASSICAL ACADEMY AT INDIGO RANCH,1110,FALCON 49,M,,4251,2,2,2
IGNACIO INTERMEDIATE SCHOOL,1540,IGNACIO 11 JT,E,,4252,1,1,1
IGNACIO JUNIOR HIGH SCHOOL,1540,IGNACIO 11 JT,M,,4254,3,2,3
IGNACIO HIGH SCHOOL,1540,IGNACIO 11 JT,H,,4258,1,2,2
IOWA ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,4270,1,1,1
LEGEND HIGH SCHOOL,0900,DOUGLAS COUNTY RE 1,H,,4271,2,2,2
INDEPENDENCE ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,4276,2,2,1
INDIAN PEAKS CHARTER SCHOOL,1350,EAST GRAND 2,E,,4277,,,
INDIAN PEAKS CHARTER SCHOOL,1350,EAST GRAND 2,M,,4277,1,1,1
INDIAN PEAKS ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,4278,1,2,2
INDIAN RIDGE ELEMENTARY SCHOOL,0130,CHERRY CREEK 5,E,,4280,2,2,2
IRISH ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,4282,2,2,3
IRON HORSE ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,4292,2,2,2
IRVING ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,4302,1,1,2
AVERY/PARSONS ELEMENTARY SCHOOL,0490,BUENA VISTA R-31,E,,4306,2,3,2
NEWTON MIDDLE SCHOOL,0140,LITTLETON 6,M,,4316,2,2,2
IVER C. RANUM HIGH SCHOOL,0070,WESTMINSTER 50,H,,4326,,,
IVY STOCKWELL ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,4332,3,3,2
IMAGINE CHARTER,0470,ST VRAIN VALLEY RE 1J,E,EM,4333,3,3,2
IMAGINE CHARTER,0470,ST VRAIN VALLEY RE 1J,M,EM,4333,2,2,2
TALBOTT ELEMENTARY SCHOOL,0990,WIDEFIELD 3,E,,4346,2,1,1
JACKSON ELEMENTARY SCHOOL,3120,GREELEY 6,E,,4356,2,3,3
JACKSON ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,4358,2,2,2
INSIGHT SCHOOL OF COLORADO AT JULESBURG,2862,JULESBURG RE-1,H,,4369,2,3,2
JAMES H RISLEY MIDDLE SCHOOL,2690,PUEBLO CITY 60,M,,4376,1,2,2
JAMES IRWIN CHARTER HIGH SCHOOL,0980,HARRISON 2,H,,4378,2,2,2
JAMES IRWIN CHARTER MIDDLE SCHOOL,0980,HARRISON 2,M,,4379,2,2,2
JAMES IRWIN CHARTER ELEMENTARY SCHOOL,0980,HARRISON 2,E,,4380,3,2,2
JAMESTOWN ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,4386,,,
JANITELL JUNIOR HIGH SCHOOL,0990,WIDEFIELD 3,M,,4394,2,2,1
JEFFERSON ACADEMY CHARTER SCHOOL,1420,JEFFERSON COUNTY R-1,E,,4402,2,2,1
JEFFERSON CHARTER ACADEMY JUNIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,M,,4404,2,2,1
JEFFCO'S 21ST CENTURY VIRTUAL ACADEMY,1420,JEFFERSON COUNTY R-1,H,,4408,,,
JEFFCO'S 21ST CENTURY VIRTUAL ACADEMY,1420,JEFFERSON COUNTY R-1,M,,4408,,,
JEFFERSON CHARTER ACADEMY SENIOR HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,4410,2,2,2
JEFFERSON MIDDLE SCHOOL,2530,ROCKY FORD R-2,M,,4418,,,
JEFFERSON HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,4422,3,2,2
JENKINS MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,,4424,2,2,2
JEFFERSON HIGH SCHOOL,3120,GREELEY 6,,,4425,,,
JEWELL ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,4426,2,1,1
JOHN EVANS MIDDLE SCHOOL,3120,GREELEY 6,M,,4438,2,2,2
JOHN F KENNEDY HIGH SCHOOL,0880,DENVER COUNTY 1,H,,4444,2,2,2
JOHN WESLEY POWELL MIDDLE SCHOOL,0140,LITTLETON 6,M,,4447,2,2,2
JOHNSON ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,4450,3,3,3
JOHNSON ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,4456,1,2,2
JOHNSON ELEMENTARY SCHOOL,2180,MONTROSE COUNTY RE-1J,E,,4458,2,1,1
JOSEPHINE HODGKINS ELEMENTARY SCHOOL,0070,WESTMINSTER 50,E,,4465,2,1,2
JORDAHL ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,,4474,2,1,2
SHERIDAN GREEN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,4478,1,1,1
JULESBURG ELEMENTARY SCHOOL,2862,JULESBURG RE-1,E,,4488,2,2,1
JULESBURG HIGH SCHOOL,2862,JULESBURG RE-1,H,,4492,3,3,3
JULESBURG HIGH SCHOOL,2862,JULESBURG RE-1,M,,4492,2,3,3
JUSTICE HIGH SCHOOL DENVER,0880,DENVER COUNTY 1,H,,4494,,,
JUSTICE HIGH CHARTER SCHOOL,0480,BOULDER VALLEY RE 2,H,,4496,1,1,2
JUSTICE HIGH CHARTER SCHOOL,0480,BOULDER VALLEY RE 2,M,,4496,,,
KAISER ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,4498,3,3,3
KARVAL ELEMENTARY SCHOOL,1810,KARVAL RE-23,E,,4502,,,
KARVAL ONLINE EDUCATION,1810,KARVAL RE-23,E,EMH,4504,,,3
KARVAL ONLINE EDUCATION,1810,KARVAL RE-23,H,EMH,4504,1,2,3
KARVAL ONLINE EDUCATION,1810,KARVAL RE-23,M,EMH,4504,2,3,3
KARVAL JUNIOR-SENIOR HIGH SCHOOL,1810,KARVAL RE-23,H,MH,4506,,,3
KARVAL JUNIOR-SENIOR HIGH SCHOOL,1810,KARVAL RE-23,M,MH,4506,3,1,3
KATHRYN SENOR ELEMENTARY SCHOOL,1195,GARFIELD RE-2,E,,4510,2,3,3
KEARNEY MIDDLE SCHOOL,0030,ADAMS COUNTY 14,M,,4516,2,2,2
HOFF ELEMENTARY SCHOOL,3090,KEENESBURG RE-3(J),E,,4526,2,3,2
KELLER ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,4530,2,2,1
KEMP ELEMENTARY SCHOOL,0030,ADAMS COUNTY 14,E,,4536,2,2,2
KEMPER ELEMENTARY SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,E,,4546,2,2,2
KEN CARYL MIDDLE SCHOOL,1420,JEFFERSON COUNTY R-1,M,,4548,2,2,2
KENDALLVUE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,4549,2,2,1
KENDRICK LAKES ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,4550,2,2,2
KENTON ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,4646,2,1,1
KEPNER MIDDLE SCHOOL,0880,DENVER COUNTY 1,M,,4656,2,2,2
PLATTE VALLEY HIGH SCHOOL,3130,PLATTE VALLEY RE-7,H,,4670,3,2,3
SALIDA MIDDLE SCHOOL,0500,SALIDA R-32,E,,4680,3,2,2
SALIDA MIDDLE SCHOOL,0500,SALIDA R-32,M,,4680,2,2,2
RAY E KILMER ELEMENTARY SCHOOL,1080,LEWIS-PALMER 38,E,,4686,2,2,1
KIM ELEMENTARY SCHOOL,1760,KIM REORGANIZED 88,E,,4690,,,
KIM UNDIVIDED HIGH SCHOOL,1760,KIM REORGANIZED 88,H,MH,4694,,,3
KIM UNDIVIDED HIGH SCHOOL,1760,KIM REORGANIZED 88,M,MH,4694,,,3
KINARD CORE KNOWLEDGE MIDDLE SCHOOL,1550,POUDRE R-1,M,,4698,2,2,2
THE NEW AMERICA SCHOOL,0010,MAPLETON 1,,,4699,,,
KING-MURPHY ELEMENTARY SCHOOL,0540,CLEAR CREEK RE-1,E,,4700,2,2,2
KIOWA ELEMENTARY SCHOOL,0930,KIOWA C-2,E,,4724,2,2,1
KIOWA MIDDLE SCHOOL,0930,KIOWA C-2,M,,4726,2,2,3
KIOWA HIGH SCHOOL,0930,KIOWA C-2,H,,4728,3,3,2
KIPP DENVER COLLEGIATE HIGH SCHOOL,0880,DENVER COUNTY 1,H,,4730,2,2,2
KIPP SUNSHINE PEAK ACADEMY,0880,DENVER COUNTY 1,E,EM,4732,2,2,2
KIPP SUNSHINE PEAK ACADEMY,0880,DENVER COUNTY 1,M,EM,4732,2,2,2
KIT CARSON ELEMENTARY SCHOOL,0510,KIT CARSON R-1,E,,4738,2,1,3
KIT CARSON JUNIOR-SENIOR HIGH SCHOOL,0510,KIT CARSON R-1,H,,4742,1,1,3
KIT CARSON JUNIOR-SENIOR HIGH SCHOOL,0510,KIT CARSON R-1,M,,4742,1,2,1
KNAPP ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,4762,2,3,3
HALLETT FUNDAMENTAL ACADEMY,0880,DENVER COUNTY 1,E,,4782,3,3,3
KNOWLEDGE QUEST ACADEMY,3110,JOHNSTOWN-MILLIKEN RE-5J,E,,4785,2,2,2
KNOWLEDGE QUEST ACADEMY,3110,JOHNSTOWN-MILLIKEN RE-5J,M,,4785,1,2,1
KOHL ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,4792,2,2,2
KRUSE ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,4793,2,2,2
KUNSMILLER CREATIVE ARTS ACADEMY,0880,DENVER COUNTY 1,E,EM,4795,2,2,2
KUNSMILLER CREATIVE ARTS ACADEMY,0880,DENVER COUNTY 1,M,EM,4795,2,2,2
CONNECTIONS LEARNING CENTER ON THE EARLE JOHNSON C,1420,JEFFERSON COUNTY R-1,H,,4798,,,2
CONNECTIONS LEARNING CENTER ON THE EARLE JOHNSON C,1420,JEFFERSON COUNTY R-1,M,,4798,,,
KULLERSTRAND ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,4802,2,2,2
KYFFIN ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,4830,2,2,2
LA JARA ELEMENTARY SCHOOL,0550,NORTH CONEJOS RE-1J,E,,4836,2,1,1
LA JARA SECOND CHANCE SCHOOL,0550,NORTH CONEJOS RE-1J,H,,4837,,,3
LA JARA SECOND CHANCE SCHOOL,0550,NORTH CONEJOS RE-1J,M,,4837,,,
JUNE CREEK ELEMENTARY SCHOOL,0910,EAGLE COUNTY RE 50,E,,4838,3,3,3
LA JUNTA INTERMEDIATE SCHOOL,2520,EAST OTERO R-1,E,,4841,2,3,3
LA JUNTA MIDDLE SCHOOL,2520,EAST OTERO R-1,M,,4842,,,
LA JUNTA PRIMARY SCHOOL,2520,EAST OTERO R-1,,,4843,,,
LA JUNTA HIGH SCHOOL,2520,EAST OTERO R-1,H,,4844,,,
PETE MIRICH ELEMENTARY SCHOOL,3080,WELD COUNTY RE-1,E,,4852,2,2,1
NORTH VALLEY MIDDLE SCHOOL,3080,WELD COUNTY RE-1,M,,4854,2,2,1
LA VETA ELEMENTARY SCHOOL,1400,LA VETA RE-2,E,,4860,1,1,1
LA VETA JUNIOR-SENIOR HIGH SCHOOL,1400,LA VETA RE-2,H,MH,4864,1,3,2
LA VETA JUNIOR-SENIOR HIGH SCHOOL,1400,LA VETA RE-2,M,MH,4864,2,3,2
LAFAYETTE ELEMENTARY SCHOOL,0480,BOULDER VALLEY RE 2,E,,4874,2,1,1
ANGEVINE MIDDLE SCHOOL,0480,BOULDER VALLEY RE 2,M,,4878,2,2,2
LAKE CITY COMMUNITY SCHOOL,1380,HINSDALE COUNTY RE 1,E,EMH,4899,1,1,2
LAKE CITY COMMUNITY SCHOOL,1380,HINSDALE COUNTY RE 1,H,EMH,4899,,,2
LAKE CITY COMMUNITY SCHOOL,1380,HINSDALE COUNTY RE 1,M,EMH,4899,1,1,2
LAKE COUNTY MIDDLE SCHOOL,1510,LAKE COUNTY R-1,E,EM,4901,2,1,1
LAKE COUNTY MIDDLE SCHOOL,1510,LAKE COUNTY R-1,M,EM,4901,1,1,1
LAKE COUNTY HIGH SCHOOL,1510,LAKE COUNTY R-1,H,,4904,3,2,3
LAKE GEORGE CHARTER SCHOOL,2610,PARK COUNTY RE-2,E,,4908,1,2,2
LAKE INTERNATIONAL SCHOOL,0880,DENVER COUNTY 1,M,,4910,3,3,3
LAKEWOOD HIGH SCHOOL,1420,JEFFERSON COUNTY R-1,H,,4942,2,2,2
LANDMARK ACADEMY AT REUNION,0040,BRIGHTON 27J,E,,4950,2,3,2
LANDMARK ACADEMY AT REUNION,0040,BRIGHTON 27J,M,,4950,2,2,2
LAMAR MIDDLE SCHOOL,2660,LAMAR RE-2,M,,4956,3,2,2
LAMAR HIGH SCHOOL,2660,LAMAR RE-2,H,,4960,2,2,2
LAMBORN VISION SCHOOL,0870,DELTA COUNTY 50(J),E,EMH,4965,,,
LAMBORN VISION SCHOOL,0870,DELTA COUNTY 50(J),H,EMH,4965,,,
LAMBORN VISION SCHOOL,0870,DELTA COUNTY 50(J),M,EMH,4965,,,
LANSING ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,4970,3,3,3
LAREDO ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,4973,2,1,1
LAREDO MIDDLE SCHOOL,0130,CHERRY CREEK 5,M,,4975,2,2,2
LARKSPUR ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,4980,2,3,3
LAS ANIMAS A+ DISTANCE LEARNING SCHOOL,0290,LAS ANIMAS RE-1,H,,4983,,,
LAS ANIMAS MIDDLE SCHOOL,0290,LAS ANIMAS RE-1,M,,4986,2,1,2
LAS ANIMAS HIGH SCHOOL,0290,LAS ANIMAS RE-1,H,,4990,2,2,2
LASLEY ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,5004,1,2,1
LAUREL ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,5014,2,2,2
LA JUNTA JR/SR HIGH SCHOOL,2520,EAST OTERO R-1,,,5015,,,
LAURENE EDMONDSON ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,5018,1,1,1
LAWRENCE ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,5024,2,3,3
JAMES MADISON CHARTER ACADEMY SCHOOL,0990,WIDEFIELD 3,E,,5033,2,2,1
LEAWOOD ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,5036,2,2,2
LEGACY HIGH SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,H,,5043,3,2,2
LEGACY POINT ELEMENTARY SCHOOL,0900,DOUGLAS COUNTY RE 1,E,,5045,2,2,1
LEMUEL PITTS MIDDLE SCHOOL,2690,PUEBLO CITY 60,M,,5048,1,3,1
LEO WILLIAM BUTLER ELEMENTARY SCHOOL,3140,WELD COUNTY S/D RE-8,E,,5050,1,1,1
LEROY DRIVE ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,5058,2,1,1
LESHER MIDDLE SCHOOL,1550,POUDRE R-1,M,,5068,3,3,3
LETFORD ELEMENTARY SCHOOL,3110,JOHNSTOWN-MILLIKEN RE-5J,E,,5078,3,2,2
LEWIS-ARRIOLA ELEMENTARY SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,E,,5090,3,2,2
