SchoolName,DistrictNumber,DistrictName,EMH,EMH_combined,SchoolNumber,AEC_10,CharterorOnline,LowestGrade,HighestGrade,INITIAL_PlanType,FINAL_PlanType,Notes,EMH_2lvl,LT100pnts,School_Grade,rank_tot,Overall_ACH_Grade,Read_Ach_Grade,Math_Ach_Grade,Write_Ach_Grade,Sci_Ach_Grade,Overall_Weighted_Growth_Grade,Read_Growth_Grade,Math_Growth_Grade,Write_Growth_Grade,SPF_PS_IND_GRAD_RATE
PEORIA ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,6869,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1145,3,2,4,2,3,7,6,7,7,
VANGUARD CLASSICAL SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,EM,9056,0,Charter,Kindergarten,8th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,1,0,5,1145,2,2,2,3,3,6,5,6,5,
VANGUARD CLASSICAL SCHOOL,0180,ADAMS-ARAPAHOE 28J,M,EM,9056,0,Charter,Kindergarten,8th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,1,0,5,1145,3,5,1,5,5,7,9,5,9,
SOMERLID ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,8030,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1145,6,6,6,5,6,5,3,6,6,
B F KITCHEN ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,0865,0,,Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1145,6,6,7,6,7,6,6,6,3,
MARTIN LUTHER KING JR ELEMENTARY SCHOOL,0990,WIDEFIELD 3,E,,5602,0,,Kindergarten,6th Grade,Improvement Plan,Improvement Plan,,1,0,5,1145,6,6,6,6,6,5,6,5,3,
LEWIS-ARRIOLA ELEMENTARY SCHOOL,2035,MONTEZUMA-CORTEZ RE-1,E,,5090,0,,Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1153,6,6,9,5,7,5,7,1,6,
NORTH MIDDLE SCHOOL,1010,COLORADO SPRINGS 11,M,,6306,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,5,1154,6,6,6,7,6,3,3,5,3,
ELLICOTT ELEMENTARY SCHOOL,1050,ELLICOTT 22,E,,2638,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1154,6,6,6,5,6,5,5,7,1,
LINCOLN ELEMENTARY SCHOOL,2660,LAMAR RE-2,E,,5190,0,,5th Grade,6th Grade,Improvement Plan,Improvement Plan,,1,0,5,1154,6,6,6,6,6,5,2,6,6,
CRAIG MIDDLE SCHOOL SCHOOL,2020,MOFFAT COUNTY RE:NO 1,M,,1938,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,5,1154,6,6,5,6,6,6,6,6,5,
LAUREL ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,5014,0,,Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1154,6,6,6,6,5,6,6,4,6,
PIKES PEAK PREP,8001,CHARTER SCHOOL INSTITUTE,E,EMH,8929,0,Charter,Kindergarten,12th Grade,Improvement Plan,Improvement Plan,"Ratings combined across grade levels at district request, denied request to reconsider",1,0,5,1159,5,6,6,5,5,1,1,3,1,
PIKES PEAK PREP,8001,CHARTER SCHOOL INSTITUTE,M,EMH,8929,0,Charter,Kindergarten,12th Grade,Improvement Plan,Improvement Plan,"Ratings combined across grade levels at district request, denied request to reconsider",1,0,5,1159,5,5,3,6,5,6,6,6,6,
GUST ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,3704,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Performance Plan,Approved request to reconsider,1,0,5,1161,4,3,6,3,3,7,6,9,6,
MIAMI/YODER ELEMENTARY SCHOOL,1130,MIAMI/YODER 60 JT,E,,5850,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1161,6,6,6,6,6,6,1,6,6,
GODSMAN ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,3478,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1163,1,1,3,1,1,7,6,7,7,
FRUITVALE ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,3262,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1163,5,5,5,4,6,5,6,5,3,
BRANSON SCHOOL ONLINE,1750,BRANSON REORGANIZED 82,E,,0948,0,Online,Kindergarten,12th Grade,Improvement Plan,Improvement Plan,,1,0,5,1165,6,6,7,6,6,5,3,6,5,
CHIPETA ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,1619,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1165,3,3,4,3,6,7,6,8,7,
MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,0010,MAPLETON 1,M,MH,0187,0,,7th Grade,12th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,1,0,5,1167,1,3,1,3,2,5,3,7,1,
LOMA LINDA ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,5246,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1167,5,5,6,5,5,5,5,5,5,
LONGS PEAK MIDDLE SCHOOL,0470,ST VRAIN VALLEY RE 1J,M,,5288,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,5,1167,5,5,5,6,6,5,6,5,5,
HILLCREST ELEMENTARY SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,E,,4000,0,,Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1170,5,4,6,5,3,5,6,5,4,
FOSTER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,3088,0,,Pre-Kindergarten,6th Grade,Improvement Plan,Improvement Plan,,1,0,5,1170,5,5,5,5,5,5,6,6,5,
POLARIS EXPEDITIONARY LEARNING SCHOOL,1550,POUDRE R-1,M,,7104,0,,6th Grade,12th Grade,Improvement Plan,Improvement Plan,,1,0,5,1170,6,6,5,7,7,5,5,2,6,
CRESSON ELEMENTARY SCHOOL,3010,CRIPPLE CREEK-VICTOR RE-1,E,,9080,0,,Pre-Kindergarten,6th Grade,Improvement Plan,Improvement Plan,,1,0,5,1173,6,6,6,6,6,5,3,3,6,
TURNBERRY ELEMENTARY,0040,BRIGHTON 27J,E,,8820,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1174,6,6,6,6,6,5,3,5,6,
COLFAX ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,1774,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1174,3,3,4,5,2,7,8,3,10,
FOX MEADOW MIDDLE SCHOOL,0980,HARRISON 2,M,,3522,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,5,1174,5,5,5,6,5,6,3,6,6,
CAMPBELL ELEMENTARY SCHOOL,1828,VALLEY RE-1,E,,1321,0,,3rd Grade,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1174,6,6,7,6,6,3,5,1,5,
COLUMBINE ELEMENTARY SCHOOL,3020,WOODLAND PARK RE-2,E,,9698,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1174,6,7,7,6,7,5,3,6,2,
BRENTWOOD MIDDLE SCHOOL,3120,GREELEY 6,M,,0988,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,5,1179,4,5,1,6,5,6,6,5,6,
MARTINEZ ELEMENTARY SCHOOL,3120,GREELEY 6,E,,6774,0,,Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1179,5,3,6,5,2,7,5,9,6,
FORT LUPTON MIDDLE SCHOOL,3140,WELD COUNTY S/D RE-8,M,,3066,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,5,1179,5,4,5,5,5,6,5,6,6,
GREEN VALLEY ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,3641,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Priority Improvement Plan,Deferred to district rating,1,0,5,1182,2,2,3,3,1,7,6,8,6,
HENRY ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,3920,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1183,6,6,6,6,5,5,5,3,6,
ASHLEY ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,0418,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1183,1,1,3,1,1,7,7,9,5,
SAND CREEK ELEMENTARY SCHOOL,0980,HARRISON 2,E,,7611,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1183,6,6,6,6,4,5,6,3,5,
PENROSE ELEMENTARY SCHOOL,1150,FREMONT RE-2,E,,6858,0,,Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1186,6,6,9,6,6,4,6,3,5,
CARBONDALE MIDDLE SCHOOL,1180,ROARING FORK RE-1,E,EM,1296,0,,5th Grade,8th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,1,0,5,1186,3,3,1,3,3,5,6,3,5,
CARBONDALE MIDDLE SCHOOL,1180,ROARING FORK RE-1,M,EM,1296,0,,5th Grade,8th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,1,0,5,1186,3,3,1,3,5,9,12,7,8,
TENNYSON KNOLLS ELEMENTARY SCHOOL,0070,WESTMINSTER 50,E,,8798,0,,Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1186,3,1,5,1,4,6,5,7,5,
NORTHEAST ACADEMY CHARTER SCHOOL,0880,DENVER COUNTY 1,E,EM,6394,0,Charter,Kindergarten,8th Grade,Improvement Plan,Turnaround Plan,Ratings combined across grade levels at district request and deferred to district rating,1,0,5,1190,2,2,2,3,1,5,3,5,7,
NORTHEAST ACADEMY CHARTER SCHOOL,0880,DENVER COUNTY 1,M,EM,6394,0,Charter,Kindergarten,8th Grade,Improvement Plan,Turnaround Plan,Ratings combined across grade levels at district request and deferred to district rating,1,0,5,1190,1,3,1,3,1,8,7,9,6,
ADAMS CITY MIDDLE SCHOOL,0030,ADAMS COUNTY 14,M,,0020,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,5,1192,3,3,3,3,6,6,6,7,3,
LYN KNOLL ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,5361,0,,Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1192,1,1,3,2,1,7,9,6,7,
MCKINLEY ELEMENTARY SCHOOL,1140,CANON CITY RE-1,E,,5704,0,,Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1192,6,6,7,6,6,3,3,4,5,
EAGLETON ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,2364,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1192,1,1,3,1,2,7,6,9,6,
ROMERO ELEMENTARY SCHOOL,3120,GREELEY 6,E,,0054,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1192,3,3,6,1,3,5,6,5,4,
ACHIEVE ACADEMY,0010,MAPLETON 1,E,EM,0505,0,,Kindergarten,8th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,1,0,5,1192,3,3,5,3,3,6,6,9,4,
ACHIEVE ACADEMY,0010,MAPLETON 1,M,EM,0505,0,,Kindergarten,8th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,1,0,5,1192,3,3,1,5,5,6,9,3,6,
SABLE ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,7558,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1199,2,1,4,1,3,6,5,9,6,
VAUGHN ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,9060,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1199,2,2,3,2,1,6,9,6,6,
CLARA E. METZ ELEMENTARY SCHOOL,0070,WESTMINSTER 50,E,,1622,0,,Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1199,4,3,6,3,3,6,6,6,4,
CALHAN ELEMENTARY SCHOOL,0970,CALHAN RJ-1,E,,1210,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1202,6,6,8,6,7,4,5,5,3,
MONROE ELEMENTARY SCHOOL,1560,THOMPSON R-2J,E,,5992,0,,Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1202,6,6,6,6,6,6,5,9,1,
HENDERSON ELEMENTARY SCHOOL,0040,BRIGHTON 27J,E,,3900,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1204,6,6,6,6,5,5,6,4,5,
VIKAN MIDDLE SCHOOL,0040,BRIGHTON 27J,M,,9230,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,5,1204,6,6,5,6,6,4,6,4,3,
BUENA VISTA ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,1126,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1206,6,6,6,6,6,5,3,6,4,
MOLHOLM ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,5972,0,,Pre-Kindergarten,6th Grade,Improvement Plan,Improvement Plan,,1,0,5,1206,4,3,5,3,3,6,6,6,5,
STRATTON MIDDLE SCHOOL,1480,STRATTON R-4,M,,8351,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,5,1206,6,6,6,6,6,4,5,5,4,
CHERAW ELEMENTARY SCHOOL,2560,CHERAW 31,E,,1538,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1209,6,6,6,6,6,5,5,5,6,
RIDGEVIEW ELEMENTARY SCHOOL,2020,MOFFAT COUNTY RE:NO 1,E,,7338,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1209,6,6,7,6,6,3,3,5,3,
CRAWFORD ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,1948,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1211,1,1,3,1,3,6,9,6,3,
KENTON ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,4646,0,,Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1211,3,3,5,3,2,7,5,9,7,
FORD ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,3038,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Turnaround Plan,Deferred to district rating,1,0,5,1211,1,1,3,1,2,6,5,10,6,
MC GLONE ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,5685,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Turnaround Plan,Deferred to district rating,1,0,5,1211,1,1,1,1,2,6,6,6,8,
MESA ELEMENTARY SCHOOL,1000,FOUNTAIN 8,E,,3108,0,,Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1211,8,7,9,7,8,3,5,3,5,
MADISON ELEMENTARY SCHOOL,3120,GREELEY 6,E,,5412,0,,Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1211,5,4,5,5,3,6,5,6,5,
BURLINGTON ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,1148,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1211,7,6,8,6,6,3,2,1,6,
NORTHRIDGE ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,6404,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1211,3,3,4,3,1,6,8,5,4,
COTOPAXI ELEMENTARY SCHOOL,1160,COTOPAXI RE-3,E,,3220,0,,Infant,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1219,6,9,6,6,9,5,5,7,1,
FOWLER JUNIOR HIGH SCHOOL,2540,FOWLER R-4J,M,,3130,0,,7th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,5,1219,6,6,5,6,6,2,2,1,5,
NORTH ELEMENTARY SCHOOL,0990,WIDEFIELD 3,E,,6362,0,,Kindergarten,6th Grade,Improvement Plan,Improvement Plan,,1,0,5,1219,6,6,7,5,6,6,5,6,4,
SIXTH AVENUE ELEMENTARY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,,7932,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1222,1,2,2,1,1,6,6,6,9,
COLLEGE VIEW ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,1788,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1222,2,2,3,1,1,6,6,7,5,
HARRINGTON ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,3778,0,,Pre-Kindergarten,6th Grade,Improvement Plan,Improvement Plan,,1,0,5,1222,2,1,5,1,1,6,6,6,8,
PRAIRIE VIEW MIDDLE SCHOOL,0040,BRIGHTON 27J,M,,7131,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,5,1225,5,6,3,6,6,3,5,4,3,
ENGLEWOOD MIDDLE SCHOOL,0120,ENGLEWOOD 1,M,,2752,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,5,1225,5,5,3,5,5,5,5,6,4,
STEVENS ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,8272,0,,Kindergarten,6th Grade,Improvement Plan,Improvement Plan,,1,0,5,1225,5,6,6,4,5,3,6,5,1,
MANZANOLA JUNIOR-SENIOR HIGH SCHOOL,2535,MANZANOLA 3J,M,,5506,0,,7th Grade,12th Grade,Improvement Plan,Improvement Plan,,1,0,5,1225,5,5,3,5,6,3,2,6,3,
LINCOLN MIDDLE SCHOOL,1550,POUDRE R-1,M,,5168,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,5,1225,5,5,5,6,6,6,5,6,5,
NIVER CREEK MIDDLE SCHOOL,0020,ADAMS 12 FIVE STAR SCHOOLS,M,,6830,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,5,1230,1,2,2,1,3,6,3,7,3,
ROCKY MOUNTAIN ELEMENTARY SCHOOL,0470,ST VRAIN VALLEY RE 1J,E,,7464,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1230,5,5,6,5,3,5,8,2,6,
CENTENNIAL JUNIOR HIGH SCHOOL,0640,CENTENNIAL R-1,M,,1396,0,,7th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,5,1232,,3,1,2,,6,5,11,3,
COLUMBIAN ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,1816,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,5,1232,3,2,5,2,2,6,3,9,5,
SKINNER MIDDLE SCHOOL,0880,DENVER COUNTY 1,M,,7942,0,,6th Grade,8th Grade,Improvement Plan,Priority Improvement Plan,Deferred to district rating,1,0,5,1232,3,3,1,3,3,6,7,6,6,
MOUNT GARFIELD MIDDLE SCHOOL,2000,MESA COUNTY VALLEY 51,M,,6166,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,5,1235,5,6,3,5,6,4,5,5,3,
TAYLOR ELEMENTARY SCHOOL,2000,MESA COUNTY VALLEY 51,E,,8462,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,4,1236,7,8,8,6,7,3,3,3,3,
SOUTH PARK ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,8116,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,4,1236,7,7,9,6,6,1,1,2,3,
QUEEN PALMER ELEMENTARY SCHOOL,1010,COLORADO SPRINGS 11,E,,7228,0,,Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,4,1238,5,5,6,5,5,3,3,5,6,
CUSTER MIDDLE SCHOOL,0860,CUSTER COUNTY SCHOOL DISTR,M,,2091,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,4,1238,6,6,6,6,6,4,6,3,3,
CLAYTON ELEMENTARY SCHOOL,0120,ENGLEWOOD 1,E,,1652,0,,Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,4,1238,6,6,6,5,5,3,1,5,3,
PUTNAM ELEMENTARY SCHOOL,1550,POUDRE R-1,E,,7218,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,4,1238,6,6,6,5,5,3,1,6,3,
EVA R BACA ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,2438,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,4,1238,6,6,6,5,5,4,2,6,3,
FISHER'S PEAK ELEMENTARY SCHOOL,1580,TRINIDAD 1,E,,2944,0,,2nd Grade,5th Grade,Improvement Plan,Improvement Plan,,1,0,4,1238,6,6,6,6,6,3,3,2,6,
SOPRIS ELEMENTARY SCHOOL,1180,ROARING FORK RE-1,E,,8038,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,4,1244,7,6,9,6,6,3,2,5,3,
DE BEQUE UNDIVIDED HIGH SCHOOL,1980,DE BEQUE 49JT,M,MH,2126,0,,7th Grade,12th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,1,0,4,1245,5,5,3,6,6,6,1,9,7,
HEATH MIDDLE SCHOOL,3120,GREELEY 6,M,,3880,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,4,1245,5,6,3,6,5,4,6,2,5,
HIGHLAND PARK ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,3976,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,4,1247,6,6,6,6,5,2,1,1,6,
MONACO ELEMENTARY SCHOOL,0030,ADAMS COUNTY 14,E,,5982,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,4,1248,5,3,6,4,4,5,5,5,3,
EVANS ELEMENTARY SCHOOL,0100,ALAMOSA RE-11J,E,,2818,0,,4th Grade,5th Grade,Improvement Plan,Priority Improvement Plan,Deferred to district rating,1,0,4,1248,5,5,6,5,5,4,3,6,3,
CENTENNIAL ELEMENTARY SCHOOL,0640,CENTENNIAL R-1,E,,7588,0,,Pre-Kindergarten,6th Grade,Improvement Plan,Improvement Plan,,1,0,4,1248,3,3,5,3,1,6,5,8,6,
CENTRAL ELEMENTARY SCHOOL,0030,ADAMS COUNTY 14,E,,1426,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,4,1251,3,3,3,3,3,6,6,6,5,
RISHEL MIDDLE SCHOOL,0880,DENVER COUNTY 1,M,,7370,0,,7th Grade,8th Grade,Improvement Plan,Turnaround Plan,Deferred to district rating,1,0,4,1251,1,1,1,1,1,6,7,6,4,
CENTENNIAL ELEMENTARY SCHOOL,3120,GREELEY 6,E,,1384,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,4,1251,3,4,5,3,1,5,6,6,4,
KIT CARSON JUNIOR-SENIOR HIGH SCHOOL,0510,KIT CARSON R-1,M,,4742,0,,6th Grade,12th Grade,Improvement Plan,Improvement Plan,,1,0,4,1254,6,8,3,9,5,2,1,1,6,
EADS ELEMENTARY SCHOOL,1430,EADS RE-1,E,,2328,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,4,1255,9,9,10,9,9,1,1,3,2,
SUNSET ELEMENTARY SCHOOL,2020,MOFFAT COUNTY RE:NO 1,E,,8398,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,4,1256,6,6,6,6,6,3,2,1,6,
CRYSTAL RIVER ELEMENTARY SCHOOL,1180,ROARING FORK RE-1,E,,2063,0,,Pre-Kindergarten,4th Grade,Improvement Plan,Improvement Plan,,1,0,4,1256,,4,6,4,,5,5,6,3,
IGNACIO JUNIOR HIGH SCHOOL,1540,IGNACIO 11 JT,M,,4254,0,,7th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,4,1258,4,6,1,5,5,4,5,3,5,
GILPIN ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,EM,3426,0,,Pre-Kindergarten,8th Grade,Improvement Plan,Priority Improvement Plan,Ratings combined across grade levels at district request and deferred to district rating,1,0,4,1259,1,1,2,1,1,6,6,6,6,
GILPIN ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,M,EM,3426,0,,Pre-Kindergarten,8th Grade,Improvement Plan,Priority Improvement Plan,Ratings combined across grade levels at district request and deferred to district rating,1,0,4,1259,1,1,1,1,5,6,6,6,9,
FRONTIER CHARTER ACADEMY,3120,GREELEY 6,M,,1875,0,Charter,Kindergarten,12th Grade,Improvement Plan,Improvement Plan,,1,0,4,1261,6,7,6,9,7,2,2,3,3,
RIVERSIDE SCHOOL,1195,GARFIELD RE-2,E,,7388,0,,5th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,4,1262,6,6,6,6,6,3,5,2,3,
OLGA A HELLBECK ELEMENTARY SCHOOL,2690,PUEBLO CITY 60,E,,6504,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Improvement Plan,,1,0,4,1262,5,6,6,5,3,5,3,3,8,
WALSH HIGH SCHOOL,0230,WALSH RE-1,M,,9226,0,,7th Grade,12th Grade,Improvement Plan,Performance Plan,Approved request to reconsider,1,0,4,1262,6,9,6,7,6,2,1,6,1,
NEWLON ELEMENTARY SCHOOL,0880,DENVER COUNTY 1,E,,6254,0,,Pre-Kindergarten,5th Grade,Improvement Plan,Performance Plan,Approved request to reconsider,1,0,3,1265,3,2,6,2,2,6,7,6,6,
EIBER ELEMENTARY SCHOOL,1420,JEFFERSON COUNTY R-1,E,,2550,0,,Kindergarten,6th Grade,Improvement Plan,Improvement Plan,,1,0,3,1265,3,4,3,3,4,6,2,9,6,
FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,0180,ADAMS-ARAPAHOE 28J,E,EM,2995,0,,4th Grade,8th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,1,0,3,1267,3,1,5,1,5,9,12,7,8,
FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,0180,ADAMS-ARAPAHOE 28J,M,EM,2995,0,,4th Grade,8th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,1,0,3,1267,,1,1,1,,1,1,1,3,
MRACHEK MIDDLE SCHOOL,0180,ADAMS-ARAPAHOE 28J,M,,6160,0,,6th Grade,8th Grade,Improvement Plan,Improvement Plan,,1,0,3,1267,4,4,4,5,5,5,5,6,4,
BURLINGTON MIDDLE SCHOOL,1500,BURLINGTON RE-6J,E,EM,1150,0,,5th Grade,8th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,1,0,3,1267,6,6,6,6,6,1,1,1,1,
BURLINGTON MIDDLE SCHOOL,1500,BURLINGTON RE-6J,M,EM,1150,0,,5th Grade,8th Grade,Improvement Plan,Improvement Plan,Ratings combined across grade levels at district request,1,0,3,1267,5,6,3,6,6,6,8,5,7,
